Data,Curs,Nom,Castells,CCCC,observacions
4/20/2007,2006-2007,Portes obertes a la UdG,"3/5net, 4/5aco, p/4",,
4/19/2007,2006-2007,Diada de Los Marracos de la UdL (Lleida),"3/5net, 2/5, 4/5net, p/4ps",,
12/21/2006,2006-2007,Diada d'Hivern dels Arreplegats (Barcelona),"3/6, 2/6, 4/5net, p/4",,
12/14/2006,2006-2007,Diada d'Hivern dels Ganàpies (Bellaterra),"3/5aco net, 2/5aco, 4/5aco net",,
11/30/2006,2006-2007,Diada d'Hivern dels Xoriguers,"5/6 c, 4/6, 3/6 aco, p/4",,
11/23/2006,2006-2007,Diada d'Hivern dels Marracos (Lleida),"3/5n, 2/5, 4/5 net, p/4",,
11/3/2006,2006-2007,"Actuació de Fires, Rambla de Girona","3/6, 2/6 aco, 4/5ag net",,
10/25/2006,2006-2007,Certàmen de Fires (Girona),"2/5, p/4",,
5/27/2006,2005-2006,Sta. Coloma de Farners,"4/5 net, 2/5, p/4",,
5/18/2006,2005-2006,Diada de primavera Ganàpies,"p/4, 4/5 net, 2/5, 3/5 net, p/4",,
5/13/2006,2005-2006,Vitòria - Gasteiz,"3/5 net, 2/5, 4/5 net, 2 p/3",,
5/12/2006,2005-2006,Universitat de Vitòria,"p/4, 3/5net, 2/5, 4/5, 2 p/3",,
5/5/2006,2005-2006,Diada primavera dels Arreplegats,"3/5aco net, 2/5, 4/5net, p/5",,
4/27/2006,2005-2006,Diada Xoriguera de primavera,"p/4 cam, 2/6, 3/6ps, 4/6a, p/5c",,
4/20/2006,2005-2006,Diada dels Marracos (Lleida),"p/3, 2/5, 3/5net, p/3",,
3/31/2006,2005-2006,Portes Obertes a la UdG,"p/4, 2/5, 4/5 net, 3/5 n, p/4",,
3/10/2006,2005-2006,Universitat de Perpinyà,"3/5 net, 4/5 net, 2/5, p/4",,
12/1/2005,2005-2006,Diada d'Hivern dels Xoriguers,"5/6, 2/6, 4/6ag, p/5",,
11/4/2005,2005-2006,Actuació de Fires. Pl. del Vi (Girona),"4d6ag c, 4/5net, 3/6, p/4ps",,
10/28/2005,2005-2006,Certàmen de Fires (Girona),"p/4ps, 3/5 net, p/4",,
5/19/2005,2004-2005,Diada Xoriguera de primavera,"5/6, 2/6, 4/6ag, p/5",,
5/12/2005,2004-2005,Diada de primavera Ganàpies,"5/5net, 2/5net, 4/5ag net, p/4",,
5/12/2005,2004-2005,Diada primavera Xoriguers,"2 p/4ps, 4/6ag, 5d6, 2/6, p/5",,
4/21/2005,2004-2005,Varsòvia (Polònia),"3/6, 2/5 net, 4/5ag net, p/4ps",,
4/20/2005,2004-2005,Varsòvia (Polònia),"3/6, 4/5ag net, p/4ps",,
12/2/2004,2004-2005,Diada hivern Xoriguers,"3/6, 2/6, 4/5ag net, 2 p/4",,
11/5/2004,2004-2005,Actuació de Fires a Plaça del Vi,"p/4, 3/6, 5/5 net, 4/5ag net, p/4ps",,
10/28/2004,2004-2005,Actuació al Certamen de Fires,"p/4, p/4ps, 4/5 net, 2/5 net, 3/5 net",,
5/13/2004,2003-2004,Diada Xoriguera de primavera,"5/6 i, 5/6, 2/6, 4/6ag, 2 p/4ps sim",,
5/7/2004,2003-2004,Diada dels Arreplegats de la Zona Universitària (Barcelona),"3/5aco net, 4/5aco net, 3/5ag aco net, p/4",,
4/28/2004,2003-2004,Fins el 2 de Maig. Universitat de Santiago de Compostel.la,"p/4, 3/6, 2/5 seminet, 5/5net, p/4 per sota. Davant l'Obradoiro, 2 p/4 sim.",,
4/22/2004,2003-2004,Diada de Los Marracos de la UdL (Lleida),"3/5aco, 2/5aco, 4/5aco, 2p/3sim",,
4/21/2004,2003-2004,Girona. Jornada de portes obertes a la UdG,"4/5net, 3/5net c, 2p/3sim",,
3/5/2004,2003-2004,"Fins el 7 de març. Perpinyà, amb Arreplegats","2/5net, 3/5net, 4/5net, p/4",,
12/18/2003,2003-2004,Diada dels Arreplegats de la Zona Universitària (Barcelona).,"4/5 ag, 3/6i, 3/6i, 4/5 aco, p/4, 3/6 germanor",,
12/11/2003,2003-2004,Diada dels Ganàpies de la UAB (Bellaterra).,"3/5, 4/5, 2/5, 4/5 de germanor, p/4",,
12/4/2003,2003-2004,Actuació 5è aniversari,"4/6ag i, 4/6ag, 2/6i, 3/6, 3p/4",,
11/27/2003,2003-2004,Diada de Los Marracos de la UdL (Lleida).,"p/4, 2/5, 3/6, 4/5net, p/4",,
10/31/2003,2003-2004,Actuació per primer cop a la Plaça del Vi i sopar del 5è aniversari.,"3/6, 4/6, 2/6aco, 2p/4, 5p/3",,
10/23/2003,2003-2004,Correllengua universitari.,"2/5, 4/5net, 3/5net, 2 p/4sim.",,
10/22/2003,2003-2004,Inauguració exposició Fotos Xorigueres a la Fac. de Ciències.,p4,,
10/2/2003,2003-2004,Actuació a la RESA.,,,
9/25/2003,2003-2004,Assaig amb camisa. Visita dels estudiants d'Erasmus.,"4/5, 4/5ag aco, p/3",,
9/15/2003,2003-2004,"Presentació curs 2003-2004, Pl. de Sant Domènec (Girona)","p/3cam, 4/5 aco net, 4/5ag aco net, p/4",,
12/19/2002,2002-2003,Diada dels Arreplegats de la Zona Universitària (Barcelona).,"3/5aco, 2/5id, 2/5, 4/5aco ag, p/4 i 3/5 de germanor amb els Ganàpies",,
12/12/2002,2002-2003,Diada dels Ganàpies de la UAB (Bellaterra).,"p/4, 4/5 aco, 2/5, 3/5aco id, 3/5aco, 2p/3 sim.",,
12/5/2002,2002-2003,"Diada d'hivern dels Xoriguers, al campus del Barri Vell (Sant Domènec).","p/4ps, 4/6id, 4/6id, 4/6, 3/6id, 3/6 (el primer!), 2/6aco, p/4",,
11/28/2002,2002-2003,Diada de los Marracos de la UdL (Lleida).,"p/4 ps, 4/5 net, 3/6 aco, 5/5, vano de 4",,
